HoleID,HoleType,Year,Property,Prospect,Grid,Easting,Northing,Elevation,NewsRelease,Length_m,Dip,Azimuth
NB82-01,DDH,1982,NIDD,Boundary,NAD83 / UTM zone 9N,423472.4,7010767.36,1226.184,Historical,301.5,-45,211.36
NB82-02,DDH,1982,NIDD,Boundary,NAD83 / UTM zone 9N,423328.49,7010523.36,1182.204,Historical,301.8,-46,211.36
NB82-03,DDH,1982,NIDD,Boundary,NAD83 / UTM zone 9N,423201.62,7010333.12,1139.064,Historical,361.2,-46,211.36
NB82-04,DDH,1982,NIDD,Boundary,NAD83 / UTM zone 9N,423090.09,7010119.39,1133.974,Historical,277.7,-47,215.37
NB83-05,DDH,1983,NIDD,Boundary,NAD83 / UTM zone 9N,422758.63,7010382.01,1163.379,Historical,316.5,-45,211.37
NB83-06,DDH,1983,NIDD,Boundary,NAD83 / UTM zone 9N,423073.69,7010839.65,1252.168,Historical,342.4,-45,211.37
NB83-07,DDH,1983,NIDD,Boundary,NAD83 / UTM zone 9N,422891.49,7010592.96,1198.44,Historical,445.6,-45,211.37
NB83-08,DDH,1983,NIDD,Boundary,NAD83 / UTM zone 9N,422390.28,7010526.09,1196.768,Historical,364.9,-45,211.38
NB83-09,DDH,1983,NIDD,Boundary,NAD83 / UTM zone 9N,422095.25,7010771.18,1261.487,Historical,288.7,-45,211.38
NB84-10,DDH,1984,NIDD,Boundary,NAD83 / UTM zone 9N,422502.85,7010692.9,1239.279,Historical,577.6,-45,211.38
NB84-11,DDH,1984,NIDD,Boundary,NAD83 / UTM zone 9N,423731.11,7010263.15,1166.809,Historical,303.3,-50,211.35
NB84-12,DDH,1984,NIDD,Boundary,NAD83 / UTM zone 9N,424086.37,7010793.47,1177.93,Historical,304.8,-50,211.35
NB89-13,DDH,1989,NIDD,Boundary,NAD83 / UTM zone 9N,422449.71,7010301.13,1133.164,Historical,188.4,-50,211.38
NB89-14,DDH,1989,NIDD,Boundary,NAD83 / UTM zone 9N,422559.72,7010448.4,1168.858,Historical,290.8,-50,211.37
NB90-15,DDH,1990,NIDD,Boundary,NAD83 / UTM zone 9N,424541.22,7010135.69,1235.908,Historical,161,-50,21.34
NB90-16,DDH,1990,NIDD,Boundary,NAD83 / UTM zone 9N,423556.1,7010592.48,1159.751,Historical,256,-50,31.36
NB90-17,DDH,1990,NIDD,Boundary,NAD83 / UTM zone 9N,424783.46,7009906.91,1263.3,Historical,236.3,-50,211.34
